0.000,0.053,0.142,0.119,0.040,0.000,0.241,9.777,0.448,0.000,0.000,0.316,10.734,0.331,0.000,0.000,0.090,0.264,0.119,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.053,0.142,0.119,0.040,0.000,0.241,9.777,0.448,0.000,0.000,0.316,10.734,0.331,0.000,0.000,0.090,0.264,0.119,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.051,0.000,0.000,0.000,0.049,0.245,0.272,0.000,0.000,0.120,15.255,1.158,0.063,0.000,0.091,2.439,1.961,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.051,0.000,0.000,0.000,0.049,0.245,0.272,0.000,0.000,0.120,15.255,1.158,0.063,0.000,0.091,2.439,1.961,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,0.000,0.062,0.069,0.182,0.497,0.244,0.000,0.043,0.593,22.819,1.154,0.143,0.000,0.173,0.646,0.109,0.049,0.036,0.000,0.000,0.083,0.000,
0.000,0.000,0.000,0.000,0.062,0.069,0.182,0.497,0.244,0.000,0.043,0.593,22.819,1.154,0.143,0.000,0.173,0.646,0.109,0.049,0.036,0.000,0.000,0.083,0.000,
0.000,0.048,0.107,0.000,0.000,0.000,0.293,0.888,0.415,0.063,0.046,0.689,24.546,1.018,0.096,0.000,0.084,0.342,0.149,0.000,0.000,0.000,0.000,0.048,0.000,
0.000,0.048,0.107,0.000,0.000,0.000,0.293,0.888,0.415,0.063,0.046,0.689,24.546,1.018,0.096,0.000,0.084,0.342,0.149,0.000,0.000,0.000,0.000,0.048,0.000,
0.227,0.000,0.000,0.000,0.000,0.161,0.000,0.101,0.000,0.000,0.092,0.374,1.961,0.056,0.000,0.000,0.000,0.000,0.043,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,0.000,0.000,0.000,0.109,0.090,0.058,0.000,0.000,0.204,11.817,0.227,0.000,0.000,0.223,3.792,0.161,0.000,0.000,0.077,0.128,0.092,0.374,
0.000,0.000,0.000,0.042,0.000,0.000,0.000,0.094,0.044,0.000,0.036,0.557,9.568,0.155,0.000,0.041,0.454,9.102,0.223,0.051,0.036,0.180,0.191,0.077,0.000,
0.000,0.000,0.000,0.042,0.000,0.000,0.000,0.094,0.044,0.000,0.036,0.557,9.568,0.155,0.000,0.041,0.454,9.102,0.223,0.051,0.036,0.180,0.191,0.077,0.000,
0.000,0.000,0.000,0.000,0.000,0.000,0.042,0.128,0.090,0.048,0.000,0.342,19.236,0.491,0.040,0.069,0.193,3.399,0.881,0.000,0.000,0.044,0.253,0.215,0.000,
0.000,0.000,0.000,0.000,0.000,0.000,0.042,0.128,0.090,0.048,0.000,0.342,19.236,0.491,0.040,0.069,0.193,3.399,0.881,0.000,0.000,0.044,0.253,0.215,0.000,
0.000,0.000,0.109,0.043,0.000,0.000,0.088,0.079,0.098,0.000,0.054,0.240,9.475,0.223,0.064,0.043,0.139,0.978,0.075,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,0.000,0.053,0.000,0.071,0.463,0.208,0.000,0.000,0.099,7.343,0.539,0.000,0.000,0.000,0.109,0.043,0.000,0.000,0.088,0.079,0.098,0.000,
0.000,0.000,0.039,0.000,0.000,0.060,0.838,2.716,0.141,0.000,0.070,1.946,16.150,0.245,0.000,0.036,0.491,2.610,0.190,0.036,0.000,0.000,0.073,0.000,0.000,
0.000,0.000,0.039,0.000,0.000,0.060,0.838,2.716,0.141,0.000,0.070,1.946,16.150,0.245,0.000,0.036,0.491,2.610,0.190,0.036,0.000,0.000,0.073,0.000,0.000,
0.038,0.000,0.059,0.000,0.000,0.035,0.198,1.046,0.190,0.000,0.000,0.541,26.469,0.507,0.073,0.037,0.181,0.483,0.206,0.096,0.071,0.000,0.042,0.000,0.040,
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.585,0.156,0.038,0.000,0.000,0.000,0.000,0.000,0.000,0.038,0.000,0.059,0.000,
0.000,0.000,0.044,0.000,0.044,0.000,0.054,0.096,0.121,0.218,0.036,0.233,5.363,0.892,17.740,0.000,0.000,0.296,0.229,1.012,0.000,0.000,0.000,0.088,0.059,
0.044,0.000,0.044,0.042,0.059,0.096,0.121,0.218,0.249,0.000,5.363,0.892,17.740,0.443,0.059,0.296,0.229,1.012,0.185,0.050,0.000,0.088,0.059,0.042,0.000,
0.071,0.124,0.263,0.000,0.000,0.060,4.618,1.269,0.079,0.000,0.096,5.456,7.652,0.117,0.000,0.069,1.524,0.189,0.097,0.000,0.000,0.000,0.041,0.000,0.000,
0.071,0.124,0.263,0.000,0.000,0.060,4.618,1.269,0.079,0.000,0.096,5.456,7.652,0.117,0.000,0.069,1.524,0.189,0.097,0.000,0.000,0.000,0.041,0.000,0.000,
0.000,0.000,0.000,0.154,10.487,0.072,0.000,0.085,0.000,0.085,0.000,0.210,2.251,0.000,0.073,0.000,0.047,0.043,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.062,0.077,0.045,0.000,0.000,0.041,0.909,1.093,0.107,0.000,0.154,10.487,4.202,0.113,0.085,0.000,0.085,0.145,0.000,2.251,0.000,0.073,0.041,0.000,
0.036,0.177,0.304,0.065,0.000,0.054,2.345,6.307,0.363,0.000,0.038,1.011,9.322,0.211,0.000,0.000,0.000,0.171,0.034,0.000,0.000,0.000,0.000,0.000,0.000,
